name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Headstone Manor & Museum (Harrow),Headstone Manor & Museum,Pinner View,Harrow,Harrow,http://www.harrow.gov.uk/museum,200000320113,E09000015,Headstone North,E05000292,514209.0001221001,189642.00012210011,-0.351051071124473,51.59356168151229,11/13/2022
Hayward Gallery,Southbank Centre,Belvedere Road,NA,Lambeth,http://ticketing.southbankcentre.co.uk/venues/hayward-gallery#,200000480099,E09000022,Bishop's,E05000416,530888.0001221001,180261.00012210011,-0.1138624789754995,51.505620817098155,11/13/2022
Florence Nightingale Museum,St. Thomas Hospital,2 Lambeth Palace Road,NA,Lambeth,http://www.florence-nightingale.co.uk/,200000488107,E09000022,Bishop's,E05000416,530797.0001221001,179582.00012210011,-0.11542487917819194,51.499539286702834,11/13/2022
The View (Epping Forest Collection),6 Rangers Road,,Chingford,Waltham Forest,www.cityoflondon.gov.uk/things-to-do/green-spaces/epping-forest/Pages/default.aspx,200001425882,E09000031,Chingford Green,E05000593,539722.0001221001,194770.00012210011,0.019126478856901972,51.63389536651658,11/13/2022
William Morris Gallery and Brangwyn Gift,Lloyd Park House,531 Forest Rd,Walthamstow,Waltham Forest,http://wmgallery.org.uk/,200001431546,E09000031,William Morris,E05000608,537229.0001221001,189906.00012210011,-0.018781164542095646,51.59079662499444,11/13/2022
Clipper Ship Cutty Sark,King William Walk,Greenwich,NA,Greenwich,http://www.rmg.co.uk/cuttysark,200002800647,E09000011,Greenwich West,E05000222,538311.1801147982,177862.44012449682,-0.00789999240986706,51.48229651190074,11/13/2022
London Fire Brigade Museum,Winchester House,94a Southwark Bridge Rd,NA,Southwark,http://www.culture24.org.uk/mw921,200003353307,E09000028,Borough & Bankside,E05011095,532102.0001221001,179829.00012210011,-0.09654051697694496,51.5014556774631,11/13/2022
HMS Belfast,Uxbridge,Middlesex,NA,Southwark,http://iwm.org.uk/,200003356908,E09000028,London Bridge & West Bermondsey,E05011104,533244.8500976935,180373.25012210011,-0.07987743963396833,51.50607878621127,11/13/2022
Imperial War Museum,Lambeth Rd,NA,NA,Southwark,http://london.iwm.org.uk/,200003372421,E09000028,St. George's,E05011114,531411.0001221001,179148.00012210011,-0.10674497455217183,51.49549623355274,11/13/2022
Old Operating Theatre and Herb Garret,9A St Thomas’ Street,NA,NA,Southwark,http://www.oldoperatingtheatre.com/,200003376919,E09000028,London Bridge & West Bermondsey,E05011104,532766.0001221001,180185.00012210011,-0.08684463255810528,51.504499614247344,11/13/2022
Brunel Museum,Brunel Engine House,Railway Avenue,Rotherhithe,Southwark,www.brunel-museum.org.uk/,200003410582,E09000028,Rotherhithe,E05011112,535239.0001221001,179870.00012210011,-0.05135151331000887,51.50108214864109,11/13/2022
Dulwich Picture Gallery,6 Gallery Road,Dulwich Village,NA,Southwark,http://www.dulwichpicturegallery.org.uk/,200003435462,E09000028,Dulwich Village,E05011100,533077.0001221001,173624.00012210011,-0.08483760757288923,51.445459396787655,11/13/2022
Osterley Park House,Jersey Road,Isleworth,NA,Hounslow,https://www.nationaltrust.org.uk/osterley-park-and-house?p=1356312744250,200003968705,E09000018,Osterley and Spring Grove,E05000363,514531.4000854939,178014.6000976935,-0.35018295814220685,51.48898096240243,11/13/2022
Gunnersbury Park Museum,Gunnersbury Park,Popes Ln,NA,Hounslow,www.hounslow.info › Arts & Culture › Historic Houses & Museums,200003970213,E09000018,Brentford,E05000347,519046.9000854939,179236.80010989308,-0.2847558660696071,51.499033890563474,11/13/2022
Migration Museum and the London Fire Brigade Museum,26 Lambeth High St,,,,https://www.london-fire.gov.uk/museum/   https://www.migrationmuseum.org/,,,,,530581.3997191936,178801.69689939916,-0.11881834300007853,51.49257604301247,11/13/2022
